bicycle	highway	name	note	surface	visible_name	boat	canoe	motorboat	waterway	canoe:conditional	wikidata	bridge	layer	ship	width	area	lit	wikipedia	tunnel	name:de	name:ru	step_count	covered	alt_name	foot	incline	loc_name	lanes	maxspeed	oneway	wheelchair	railway	man_made	nat_ref	start_date	source	source:maxspeed	construction	svg:bezier	building	ferry	public_transport	CEMT	access	old_name	name:it	canoa:conditional	fixme	name:en	name:es	name:fr	bridge:railing	bridge:structure	importance	name:ja	name:pl	name:pt	sidewalk	architect	end_date	length	name:uk	horse	official_name	material	tourism	place	source:date	footway	name:ar	name:be	name:bg	name:he	name:ko	name:tr	name:vec	name:zh	maxwidth	handrail	handrail:left	handrail:right	est_width	arcade:right	electrified	arcade:left	natural	height	psv	description	motor_vehicle	segregated	smoothness	step	ramp	ramp:bicycle	ramp:stroller	ramp:wheelchair	name_1	noexit
no	pedestrian	Calle del Teatro o de la Commedia	high dop																																																																																																
no	pedestrian	Fondamenta dei Tolentini		paving_stones	Fondamenta di Santa Chiara																																																																																														
		Rio della Croce				yes	yes	yes	canal																																																																																										
		Rio de Ognisanti						yes	canal																																																																																										
		Rio di Noale					yes	yes	canal	no @ Mo-Fr 8:00-15:00	Q3432741																																																																																								
		Rio de San Giovanni Laterano						yes	canal		Q3432755																																																																																								
		Rio della Misericórdia						yes	canal		Q3432795																																																																																								
no	pedestrian	Ramo del Campazzo		paving_stones																																																																																															
no	pedestrian	Calle de la Fondaria		paving_stones																																																																																															
	steps	Ponte Canal										yes	1																																																																																						
no	pedestrian	Ramo de le Chioverete		paving_stones																																																																																															
		Rio di San Biagio				yes	yes	yes	canal																																																																																										
		Ramo primo de Sacca Fisola				yes	yes	yes	canal																																																																																										
		Rio San Agostin				yes	yes	yes	canal					yes																																																																																					
		Rio di Santo Stefano				yes	yes	yes	canal																																																																																										
		Rio del Battello						yes	canal		Q3432831																																																																																								
		Rio Menuo o de la Verona							canal																																																																																										
no	pedestrian	Rio Tera San Paternian	high dop																																																																																																
		Rio di Sant'Angelo			RIO DI S. ANGELO	yes			canal		Q3432914																																																																																								
no	pedestrian	Rio terà dei Franceschi																																																																																																	
no	pedestrian	Corte Vechia																																																																																																	
		Rio dei Tolentini						yes	canal						8																																																																																				
no	pedestrian	Calle de le Mandola																																																																																																	
no	pedestrian	Fondamenta Condulmer		paving_stones																																																																																															
no	pedestrian	Campo San Polo		paving_stones												yes	yes	it:Campo San Polo																																																																																	
no	pedestrian	Fondamenta del Ponte Longo																	yes																																																																																
no	pedestrian	Campiello del Piovan		paving_stones												yes																																																																																			
no	pedestrian	Fondamenta dei Frari																																																																																																	
no	pedestrian	Salizada San Geremia		paving_stones																																																																																															
no	pedestrian	Riva degli Schiavoni		paving_stones	RIVA DEGLI SCHIAVONI															Ufer der Slawen	Славянская набережная																																																																														
no	pedestrian	Fondamenta de Ca' Labia																																																																																																	
no	pedestrian	Fondamenta Zattere ai Gesuati																																																																																																	
no	pedestrian	Riva San Biasio		paving_stones													yes																																																																																		
no	pedestrian	Riva degli Schiavoni		paving_stones	RIVA DEGLI SCHIAVONI												yes			Ufer der Slawen	Славянская набережная																																																																														
no	pedestrian	Calle dell'Olio																																																																																																	
no	pedestrian	Fondamenta di Santa Giustina															yes																																																																																		
no	pedestrian	Salizada San Polo		paving_stones													yes																																																																																		
	steps	Ponte di San Biagio										yes	1																																																																																						
no	pedestrian	Calle de le Turchette																																																																																																	
		Rio de l'Anzolo						yes	canal																																																																																										
	steps	Ponte Bonaventura										yes	1									8																																																																													
	footway	Sotoportego de Gheto Novo																	building_passage				yes																																																																												
no	pedestrian	Fondamenta de le Sechere																																																																																																	
no	pedestrian	Calle de Mezo		paving_stones																																																																																															
	steps	Ponte de le Sechere										yes	1																																																																																						
no	pedestrian	Calle de le Sechere		paving_stones																																																																																															
	steps	Ponte de Gheto Novo										yes	1																																																																																						
no	pedestrian	Gheto Novissimo		paving_stones																																																																																															
no	pedestrian	Calle de la Saca																																																																																																	
no	pedestrian	Calle Contarini			CALLE E CORTE CONTARINI																																																																																														
no	pedestrian	Campo San Trovaso		paving_stones												yes	yes	it:Campo San Trovaso																																																																																	
no	pedestrian	Fondamenta del Rio Santa Eufemia																																																																																																	
	steps	Ponte Lagoscuro										yes	1																																																																																						
no	pedestrian	Calle Prima Larga		paving_stones																																																																																															
no	pedestrian	Calle del Cristo																																																																																																	
no	pedestrian	Calle Mandoler		paving_stones																																																																																															
	footway	Piazzale Roma																																																																																																	
no	pedestrian	Calle del Volto																																																																																																	
no	pedestrian	Rio Terà Lista di Spagna		paving_stones																				Strada Nova	yes																																																																										
	steps	Ponte Donà										yes	1																																																																																						
	steps	Ponte San Boldo										yes	1																																																																																						
no	pedestrian	Calle del Ponte Storto											1																																																																																						
no	pedestrian	Ramo Ponte Storto																																																																																																	
no	pedestrian	Calle del Tiozzi																																																																																																	
	steps	Ponte Bernardo										yes	1																																																																																						
no	pedestrian	Calle Ca' Bernardo																																																																																																	
	footway	Ponte de la Crea										yes	1																																																																																						
no	pedestrian	Fondamenta San Giobbe																																																																																																	
no	pedestrian	Calle del Pistor																																																																																																	
no	pedestrian	Calle de la Bissa			CALLE DE LA BISSA																																																																																														
	steps	Ponte Tetta										yes	1									2				down																																																																									
no	pedestrian	Calle de l'Ospedaleto															yes										Calle de l'Ospealeto																																																																								
	steps	Ponte de San Provolo										yes	1									7																																																																													
	steps	Ponte del Prestin										yes	1									17																																																																													
no	steps	Ponte del Prestin										yes	1																																																																																						
	steps	Ponte de le Torete										yes	1																																																																																						
	steps	Ponte de la Piova										yes	1																																																																																						
no	pedestrian	Fondamenta de la Pescaria																																																																																																	
no	pedestrian	Fondamenta Zattere al Ponte Longo																																																																																																	
yes	trunk	Ponte della Libertà										yes	1															2	50	yes																																																																					
yes	trunk	Ponte della Libertà																										2	50	yes																																																																					
yes	trunk	Ponte della Libertà										yes	1															2	50	yes																																																																					
yes	trunk	Ponte della Libertà																										2	50	yes																																																																					
	residential	Calle Dietro Ai Magazzini																																																																																																	
no	pedestrian	Fondamenta Bembo del Malcanton																																																																																																	
no	pedestrian	Salizada del Spezier																																																																																																	
no	pedestrian	Salizada del Pistor																																																																																																	
