amenity	name	operator	addr:housenumber	addr:neighbourhood	addr:place	tourism	brand	layer	ref:mise	wheelchair	name:ru	alt_name	religion	wikidata	addr:postcode	ethnicity	museum	name:hu	opening_hours	phone	denomination	cuisine	diet:kosher	addr:city	addr:street	email	website	wikipedia	atm	shop	name:en	contact:housenumber	contact:street	fax	internet_access	rooms	stars	takeaway	toilets	ferry	public_transport	cargo	description:en	dispensing	toilets:wheelchair	name:it	source	url	short_name	note	ref:vatin	restaurant:type:it	authorization	addr:country	internet_access:fee	name:es	name:zh	start_date	name:de	FIXME	loc_name	description	image	maintenance	source:pkey	wetap:credit	wetap:photo	wetap:status	contact:phone	organic	contact:facebook	contact:skype	smoking	is_in	outdoor_seating	fixme	fuel:lpg	wifi	contact:twitter	capacity	diet:gluten_free	name:ko	contact:email	artwork_type	name:be	name:nl	name:pl	name:pt	name:ro	name:sh	name:sr	name:uk	local_name	historic	entrance	building	source:name	addr:hamlet	delivery	ref:enel:code	ref:enel:serial_number	name:fr	salt	brand:wikidata	brand:wikipedia	ele	operator:wikidata	operator:wikipedia	books	second_hand	payment:bitcoin	payment:litecoin	tourism_1	barrier	croissant:type	price	microbrewery	tourism_2	description:hu	name:ja	addr:province	addr:housename	country	diplomatic	other	old_name	line	contact:website	vending	diet:vegan	diet:vegetarian	information	level	opening_hours:signed	note:it	breakfast	breakfast:buffet	swimming_pool	bus	description:de	highway	contact:fax	contact:neighbourhood	clothes	internet_access:ssid	faculty	contact:city	contact:postcode	addr:conscriptionnumber	canoe_rental	kayak_rental	artist_name	material	addr:unit	payment:american_express	payment:cash	payment:credit_cards	payment:debit_cards	payment:maestro	payment:mastercard	payment:visa	payment:visa_debit	payment:visa_electron	emergency	shop_1	access	capacity:disabled	fee	lit	park_ride	parking	smoothness	surface	addr:number	boat:parts	name:cs	facebook	isced:level	operator:type	addr:suburb	guest_house
ferry_terminal	"San Zaccaria (Pietà) ""A"""	ACTV																																																																																																																																																																																			
	Albergo Locanda Silva		4423	Castello	Castello	guest_house																																																																																																																																																																															
fuel	Agip	Iclera S.N.C. di Cancellara Michele & C.					Agip Eni	1	31659																																																																																																																																																																												
ferry_terminal	San Basilio	ACTV								yes																																																																																																																																																																											
ferry_terminal	Palanca	ACTV																																																																																																																																																																																			
ferry_terminal	San Giorgio	ACTV								limited	Сан Джорджио																																																																																																																																																																										
place_of_worship	Scuola Ponentina											Scuola Spagnola	jewish	Q2897799																																																																																																																																																																							
place_of_worship	Scuola Levantina												jewish																																																																																																																																																																								
	Museo Ebraico		2902B	Cannaregio	Cannaregio	museum									30100	hebrew	cultural	Zsidó Múzeum	Su-Fr 10:00-17:30	+39 041 715359																																																																																																																																																																	
place_of_worship	Bet Chabad												jewish								jewish																																																																																																																																																																
restaurant	Gam Gam		1122	Cannaregio	Cannaregio					limited									Su-Th 12:00-22:00, Fr 12:00-15:00			kosher	yes																																																																																																																																																														
restaurant	Ristorante Upupa Ghetto Venezia		2888	Cannaregio	Cannaregio										30121									Venezia	Campo de Gheto Novo																																																																																																																																																												
theatre	Teatro La Fenice		1965		San Marco	attraction				no	Театр Ла Фениче			Q223942	30124					+39 041 786511				Venezia	Campo San Fantin	info@teatrolafenice.org	https://www.teatrolafenice.it/	it:Gran Teatro La Fenice																																																																																																																																																									
ferry_terminal	"Piazzale Roma Parisi ""E"""	ACTV								yes																																																																																																																																																																											
ferry_terminal	San Stae																																																																																																																																																																																				
bank	Banco San Marco									yes									Mo-Fr 08:30-13:30,14:45-16:05										yes																																																																																																																																																								
pharmacy	Farmacia Santa Lucia									limited																																																																																																																																																																											
pharmacy	Al Re d'Italia - Dr Chiaro		3823A	Cannaregio	Cannaregio					no																																																																																																																																																																											
pharmacy	Alla Vecchia e al Cedro Imperiale									limited																																																																																																																																																																											
	inCoop		1491a	Santa Croce															Mo-Sa 08:30-20:00; Su 09:00-20:00	+39 041 2750218										supermarket																																																																																																																																																							
ice_cream	Mayer		1657	Santa Croce																																																																																																																																																																																	
restaurant	La Zucca		1																Mo-Sa 12:30-14:30, 19:00-22:30			Seasonal_Venetian_dishes_with_vegetarian_leanings.			Sotoportego del Tintor						La Zucca																																																																																																																																																						
	Residenza Cannaregio	Eurostars hotels		Cannaregio		hotel														+39 041 5244332						reservation@eurostarsresidenzacannaregio.com	http://www.eurostarsresidenzacannaregio.com/					3210A	Calle dei Riformati	+39 041 2757952	wlan	64	4																																																																																																																																																
restaurant	Pizzeria Ristorante Ae Oche																																																																																																																																																																																				
	Ca Macane		3172												30123				Mo-Su 10:00-19:00	+39 041 2776142					Sestiere Dorsoduro		https://www.camacana.com/			yes	Ca Macana																																																																																																																																																						
fast_food	McDonald's		3885	Cannaregio	Cannaregio		McDonald's			yes					30121				Mo-Su 07:00-24:00			burger													wlan			yes	yes																																																																																																																																														
	Belle Arti					hotel																															3																																																																																																																																																
police	Questura		5053	Castello	Castello					no																																																																																																																																																																											
ferry_terminal	"Ferrovia ""B"""	ACTV								yes																														yes	stop_position																																																																																																																																												
ferry_terminal	Guglie																																									passengers																																																																																																																																											
ferry_terminal	Tre Archi																																									passengers																																																																																																																																											
restaurant	La Calcina					hotel																italian																					John Ruskin lived and worked in this house																																																																																																																																										
school	ITT F. Algarotti Sez. Palazzo Testa		468	Cannaregio	Cannaregio																																																																																																																																																																																
pharmacy	Croce di Malta		3470	Castello	Castello																																							yes																																																																																																																																									
cafe	Caffé Rosso		2967							yes					30123							regional			Campo Santa Margherita																				no																																																																																																																																								
	Punto Simply Market		3017							yes					30123									Venezia	Rio Terà Canal					supermarket																																																																																																																																																							
ferry_terminal	Riva di Biasio	ACTV																																																																																																																																																																																			
ferry_terminal	Crea																																																																																																																																																																																				
ferry_terminal	Fondamente Nove (C)																																									passengers																																																																																																																																											
	Coop		5818	Castello	Castello		COOP																							supermarket																Coop магазин																																																																																																																																							
	I tre Mercanti		Castello 5364												30122										Calle al Ponte de la Guerra		http://www.itremercanti.it			deli																	survey																																																																																																																																						
	Gambero		4687	San Marco	San Marco	hotel																															3											http://www.locandaalgambero.com/																																																																																																																																					
bar	dai Zemei		San Paolo 145B							no		Osteria dai Zemei										ostaria			Ruga Vecchia San Giovanni																																																																																																																																																												
restaurant	al Vecio Canton		4738a	Castello	Castello																	pizza																																																																																																																																																															
restaurant	Osteria Ruga di Jaffa		4864	Castello	Castello																	osteria													wlan																																																																																																																																																		
	Hotel al Piave		4838	Castello	Castello	hotel																																																																																																																																																																															
pub	al Canton		4832	Castello	Castello																																																																																																																																																																																
restaurant	Trattoria agli Artisti		4835	Castello	Castello																	pizza																																																																																																																																																															
restaurant	al Pozzo Reverso																					osteria																																																																																																																																																															
restaurant	Ristorante Al Burchiello		5853	Castello	Castello																																																																																																																																																																																
	Casa Malipiero		5250	Castello	Castello	hotel																																											Ca' Malipiero																																																																																																																																				
	Hotel Scandinavia		5240	Castello	Castello	hotel									30122					+39 041 5223507						info@scandinaviahotel.com	http://www.scandinaviahotel.com/																																																																																																																																																										
	Libreria Acqua Alta		5176b	Castello	Castello						Книжный магазин																			books																																																																																																																																																							
restaurant	Enoteca Mascareta		5183	Castello	Castello																	osteria																																																																																																																																																															
	Locanda SS. Giovanni e Paolo		6401	Castello	Castello	hotel																																																																																																																																																																															
restaurant	Osteria alla Staffa		6398	Castello	Castello																	italian																																																																																																																																																															
restaurant	Osteria Oliva Nera		3417	Castello	Castello																																																																																																																																																																																
	Hotel Liassidi Palace		3405	Castello	Castello	hotel																															4																																																																																																																																																
cafe	Da Aurelio																																																																																																																																																																																				
cafe	Bar pasticceria Chiusso		3306	Castello	Castello																																																																																																																																																																																
restaurant	Trattoria da Jonny		3305	Castello	Castello										30030							italian																												Do not eat here!	IT03908010279	bar;cicchetteria																																																																																																																																	
restaurant	Osteria Ae Spezie																					italian																																																																																																																																																															
restaurant	Antica Trattoria Bandierette		6671	Castello	Castello																	thai																																																																																																																																																															
restaurant	Pizzeria alla Strega		6418	Castello	Castello																	pizza																																																																																																																																																															
fast_food	Agorà Pizza Kebab		6417	Castello	Castello																	kebab;pizza																																																																																																																																																															
fast_food	Guda		6651	Castello	Castello																	pizza													wlan																																																																																																																																																		
ferry_terminal	"Accademia ""A"""																																							yes	station																																																																																																																																												
ferry_terminal	San Samuele									limited																																																																																																																																																																											
ferry_terminal	San Tomà									limited																																																																																																																																																																											
ferry_terminal	San Marcuola	ACTV																																																																																																																																																																																			
restaurant	Trattoria Taverna Capitan Uncino		1501	Santa Croce																+39 041 721901						info@tavernacapitanuncino.it	http://www.tavernacapitanuncino.it/																																																																																																																																																										
	Ferramenta al Megio																													hardware																																																																																																																																																							
restaurant	Il Refolo		1459	Santa Croce																+39 041 5240016		pizza			Santa Croce		http://www.rist-refolo.it/																																																																																																																																																										
	Tabacchi Da Massimo		1659	Santa Croce																										tobacco;stationery																							63																																																																																																																																
ferry_terminal	Giglio																																																																																																																																																																																				
	Gritti Palace		2467		San Marco	hotel									30124					+39 041 794611				Venezia	Campo Santa Maria del Giglio	grittipalace@luxurycollection.com	http://www.thegrittipalace.com/										5																	IT																																																																																																																															
restaurant	Pizzeria All'Anfora		1223	Santa Croce																		pizza																									local_knowledge																																																																																																																																						
library	Fondazione Eni Enrico Mattei														30124					+39 041 2700411				Venezia	Isola di San Giorgio Maggiore	venezia@feem.it	https://www.feem.it/																																																																																																																																																										
bar	Margaret Duchamp																																																																																																																																																																																				
	Foscari Palace		4200		Cannaregio	hotel									30131					+39 041 5297611				Venezia	Campo Santa Sofia	info@hotelfoscaripalace.com	https://www.hotelfoscaripalace.it/										4																	IT																																																																																																																															
	Conad City	Conad		Cannaregio	Cannaregio					yes					30121				Mo-Su 08:00-20:30						Calle della Fornasa Vecia					supermarket																																																																																																																																																							
ferry_terminal	Venezia Greece ferry																																																																																																																																																																																				
	Bartolomeo		5494	San Marco	San Marco	hotel									30124					+39 041 5235387						info@hotelbartolomeo.com	https://www.hotelbartolomeo.com/																																																																																																																																																										
ferry_terminal	Tronchetto	ACTV								yes																														yes	stop_position																																																																																																																																												
	Saturnia		2398		San Marco	hotel									30124					+39 041 5208377				Venezia	Calle Larga XXII Marzo	info@hotelsaturnia.it	https://www.hotelsaturnia.it/								yes		4																	IT	yes																																																																																																																														
